,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
151356,75966,Sergey Anatolyevich Martynov,Male,36.0,173.0,65.0,Belarus,BLR,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze
151359,75966,Sergey Anatolyevich Martynov,Male,44.0,173.0,65.0,Belarus,BLR,2012 Summer,2012,Summer,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
151383,75981,Kei Marumo,Female,24.0,160.0,50.0,Japan,JPN,2016 Summer,2016,Summer,Rio de Janeiro,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
151419,75996,Karina Maruyama,Female,29.0,162.0,56.0,Japan,JPN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Silver
151438,76010,"Gisle Marie ""Gigi"" Marvin",Female,22.0,173.0,75.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
151439,76010,"Gisle Marie ""Gigi"" Marvin",Female,26.0,173.0,75.0,United States,USA,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
151442,76012,Franco Marvulli,Male,25.0,191.0,82.0,Switzerland,SUI,2004 Summer,2004,Summer,Athina,Cycling,Cycling Men's Madison,Silver
151587,76071,Bruno Miguel Mascarenhas Antunes,Male,23.0,181.0,73.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Coxless Fours,Bronze
151600,76079,Javier Alejandro Mascherano,Male,20.0,171.0,66.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,Gold
151601,76079,Javier Alejandro Mascherano,Male,24.0,171.0,66.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
151705,76132,Vladimir Anatolyevich Maslennikov,Male,21.0,171.0,73.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres",Bronze
151757,76156,Germaine Mason,Male,25.0,195.0,80.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's High Jump,Silver
151863,76218,Kylie Jacqueline Masse,Female,20.0,173.0,61.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Backstroke,Bronze
151869,76223,Daniela Masseroni,Female,19.0,170.0,48.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
151888,76226,Kelly Massey,Female,31.0,178.0,57.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
151896,76230,Alexander Chen Massialas,Male,22.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Individual",Silver
151897,76230,Alexander Chen Massialas,Male,22.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Bronze
151919,76242,Luca Masso,Male,22.0,186.0,82.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Hockey,Hockey Men's Hockey,Gold
151943,76256,Nicols Alejandro Mass Fried,Male,26.0,182.0,80.0,Chile,CHI,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,Gold
151944,76256,Nicols Alejandro Mass Fried,Male,26.0,182.0,80.0,Chile,CHI,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,Gold
151993,76281,Natalie Mastracci,Female,23.0,178.0,75.0,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Silver
151998,76283,Luigi Mastrangelo,Male,28.0,202.0,90.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Silver
