,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
219987,110507,Emanuel Eduardo Pimenta Vieira da Silva,Male,26.0,186.0,87.0,Portugal,POR,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
219991,110508,Erlon de Souza Silva,Male,25.0,175.0,78.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",Silver
220065,110549,Rafaela Lopes Silva,Female,24.0,169.0,57.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Lightweight,Gold
220072,110554,Rui Manuel Monteiro da Silva,Male,27.0,175.0,65.0,Portugal,POR,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Men's 1,500 metres",Bronze
220076,110558,Thiago Emiliano da Silva,Male,23.0,183.0,72.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
220077,110558,Thiago Emiliano da Silva,Male,27.0,183.0,72.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
220091,110565,Yarisley Silva Rodrguez,Female,25.0,161.0,61.0,Cuba,CUB,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Pole Vault,Silver
220106,110575,Emily Susan Silver,Female,22.0,180.0,70.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
220188,110619,Irina Alekseyevna Simagina (-Meleshina),Female,22.0,171.0,56.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Long Jump,Silver
220195,110624,Anastasiya Dmitriyevna Simanovich,Female,21.0,174.0,69.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
220325,110669,Ventzislav Simeonov,Male,27.0,200.0,105.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Silver
220442,110716,Georgia Simmerling,Female,27.0,172.0,67.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,Bronze
220444,110718,Kerry Simmonds,Female,27.0,183.0,82.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
220535,110765,Diederik Rudolf Simon,Male,34.0,190.0,90.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Silver
220637,110816,Simone Gomes Jatob,Female,27.0,172.0,66.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
220684,110840,Marko Simonovi,Male,30.0,203.0,96.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Silver
220738,110871,Andrew James Simpson,Male,31.0,185.0,104.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Men's Two Person Keelboat,Gold
220739,110871,Andrew James Simpson,Male,35.0,185.0,104.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's Two Person Keelboat,Silver
220794,110897,Sherone Anmarica Simpson,Female,19.0,163.0,59.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
220795,110897,Sherone Anmarica Simpson,Female,23.0,163.0,59.0,Jamaica,JAM,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 100 metres,Silver
220799,110897,Sherone Anmarica Simpson,Female,27.0,163.0,59.0,Jamaica,JAM,2012 Summer,2012,Summer,London,Athletics,Athletics Women's 4 x 100 metres Relay,Silver
220803,110900,"William ""Will"" Simpson",Male,49.0,173.0,77.0,United States,USA,2008 Summer,2008,Summer,Beijing,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
220833,110915,Sin A-Lam,Female,25.0,168.0,56.0,South Korea,KOR,2012 Summer,2012,Summer,London,Fencing,"Fencing Women's epee, Team",Silver
220901,110954,Seth Muenfuh Sincere,Male,18.0,170.0,77.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
220910,110961,Christine Margaret Sinclair,Female,29.0,176.0,75.0,Canada,CAN,2012 Summer,2012,Summer,London,Football,Football Women's Football,Bronze
220911,110961,Christine Margaret Sinclair,Female,33.0,176.0,75.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Bronze
220929,110974,"Pusarla Venkata ""P. V."" Sindhu",Female,21.0,179.0,65.0,India,IND,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Women's Singles,Silver
221217,111161,Vijender Kumar Singh,Male,22.0,182.0,75.0,India,IND,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Middleweight,Bronze
221424,111288,Nataliya Siniin,Female,31.0,160.0,58.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Bronze
221461,111300,Martin Sinkovi,Male,22.0,188.0,95.0,Croatia,CRO,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Silver
221462,111300,Martin Sinkovi,Male,26.0,188.0,95.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
221463,111301,Valent Sinkovi,Male,23.0,187.0,93.0,Croatia,CRO,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Silver
221464,111301,Valent Sinkovi,Male,28.0,187.0,93.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,Gold
221471,111306,Clarinda Maria Sinnige,Female,31.0,179.0,75.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Silver
221565,111358,Maicon de Andrade Siqueira,Male,23.0,190.0,90.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Heavyweight,Bronze
221579,111366,Nikolaos Siranidis,Male,28.0,175.0,75.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Diving,Diving Men's Synchronized Springboard,Gold
221607,111375,Kvin Ren Michel Sireau,Male,21.0,188.0,90.0,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,Cycling Men's Team Sprint,Silver
221608,111375,Kvin Ren Michel Sireau,Male,25.0,188.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Team Sprint,Silver
221620,111381,Pimsiri Sirikaew,Female,22.0,152.0,58.0,Thailand,THA,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Women's Lightweight,Silver
221621,111381,Pimsiri Sirikaew,Female,26.0,152.0,58.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Lightweight,Silver
221632,111388,Nicolae Alexandru Sirieanu,Male,28.0,182.0,81.0,Romania,ROU,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Sabre, Team",Silver
221673,111409,Saija Katariina Sirvi-Tarkki,Female,27.0,172.0,60.0,Finland,FIN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
221765,111462,Hanna Oleksandrivna Siukalo,Female,27.0,175.0,61.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Bronze
221794,111477,Anna Vitalyevna Sivkova,Female,22.0,176.0,64.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Fencing,"Fencing Women's epee, Team",Gold
221908,111525,Eva Therese Sjlander,Female,20.0,173.0,69.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
221909,111525,Eva Therese Sjlander,Female,24.0,173.0,69.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Silver
221933,111538,Johan Charlie Sjstrand,Male,25.0,195.0,95.0,Sweden,SWE,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Silver
221949,111543,Sarah Frederica Sjstrm,Female,22.0,182.0,76.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Freestyle,Bronze
221950,111543,Sarah Frederica Sjstrm,Female,22.0,182.0,76.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 200 metres Freestyle,Silver
221953,111543,Sarah Frederica Sjstrm,Female,22.0,182.0,76.0,Sweden,SWE,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 100 metres Butterfly,Gold
221997,111571,Nataliya Anatolivna Skakun,Female,23.0,160.0,60.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Middleweight,Gold
222029,111586,Ladislav kantr,Male,33.0,189.0,80.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
222030,111587,Peter kantr,Male,34.0,182.0,78.0,Slovakia,SVK,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
222058,111598,Nadezhda Valeryevna Skardino,Female,28.0,160.0,49.0,Belarus,BLR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Women's 15 kilometres,Bronze
222065,111599,Bente Skari-Martinsen,Female,29.0,173.0,63.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold
222066,111599,Bente Skari-Martinsen,Female,29.0,173.0,63.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,Bronze
222068,111599,Bente Skari-Martinsen,Female,29.0,173.0,63.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Silver
222137,111630,Nika Skelin,Male,26.0,200.0,103.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs,Silver
222141,111631,Sinia Skelin,Male,30.0,196.0,92.0,Croatia,CRO,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Pairs,Silver
222155,111634,"Nicholas David ""Nick"" Skelton",Male,54.0,175.0,76.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Gold
222156,111634,"Nicholas David ""Nick"" Skelton",Male,58.0,175.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Individual",Gold
222180,111646,"Nikolaos ""Nikos"" Skiathitis",Male,22.0,183.0,73.0,Greece,GRE,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Lightweight Double Sculls,Bronze
222199,111660,Callum Skinner,Male,23.0,187.0,93.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Sprint,Silver
222201,111660,Callum Skinner,Male,23.0,187.0,93.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Men's Team Sprint,Gold
222202,111661,Catherine Skinner,Female,26.0,172.0,80.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Women's Trap,Gold
222252,111676,Ann Elen Skjelbreid,Female,30.0,171.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
222258,111677,Liv Grete Skjelbreid-Poire,Female,27.0,167.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 15 kilometres,Silver
222259,111677,Liv Grete Skjelbreid-Poire,Female,27.0,167.0,58.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Silver
222269,111678,Kristen Skjeldal,Male,34.0,175.0,70.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,Bronze
222271,111678,Kristen Skjeldal,Male,34.0,175.0,70.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
222327,111698,Ivan Aleksandrovich Skobrev,Male,27.0,187.0,85.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 5,000 metres",Bronze
222328,111698,Ivan Aleksandrovich Skobrev,Male,27.0,187.0,85.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Speed Skating,"Speed Skating Men's 10,000 metres",Silver
222361,111707,Vibeke Westbye Skofterud,Female,29.0,165.0,62.0,Norway,NOR,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Gold
222395,111723,Yuliya Igorevna Skokova,Female,31.0,175.0,71.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
222486,111769,Rikke Erhardsen Skov,Female,23.0,181.0,73.0,Denmark,DEN,2004 Summer,2004,Summer,Athina,Handball,Handball Women's Handball,Gold
222596,111829,Austra Skujyt,Female,24.0,188.0,82.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Heptathlon,Silver
222855,111937,Svetlana Yuryevna Sleptsova,Female,23.0,162.0,54.0,Russia,RUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
222856,111938,Yelena Vladimirovna Slesarenko (Sivushenko-),Female,22.0,178.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's High Jump,Gold
222906,111956,Tom Slingsby,Male,27.0,186.0,81.0,Australia,AUS,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Dinghy,Gold
222920,111964,Oksana Nikolayevna Slivenko,Female,21.0,164.0,69.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
222937,111973,Anna Sloan,Female,23.0,160.0,62.0,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
222939,111974,Bridget Elizabeth Sloan,Female,16.0,150.0,47.0,United States,USA,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Silver
222982,111995,Sara Slott-Bruun Petersen,Female,29.0,171.0,57.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres Hurdles,Silver
223038,112015,Irina Eduardovna Slutskaya,Female,23.0,160.0,49.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Figure Skating,Figure Skating Women's Singles,Silver
223039,112015,Irina Eduardovna Slutskaya,Female,27.0,160.0,49.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Women's Singles,Bronze
223049,112020,Olga Anatolyevna Slyusareva,Female,35.0,168.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Women's Road Race, Individual",Bronze
223052,112020,Olga Anatolyevna Slyusareva,Female,35.0,168.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Points Race,Gold
223067,112031,Minke Smabers (-Smeets),Female,25.0,158.0,49.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Silver
223068,112031,Minke Smabers (-Smeets),Female,29.0,158.0,49.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
223100,112052,"Samantha ""Sami Jo"" Small (-Bridges)",Female,25.0,170.0,85.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
223118,112060,Erinn L. Smart,Female,28.0,170.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Foil, Team",Silver
223129,112064,Keeth Thomas Smart,Male,30.0,183.0,75.0,United States,USA,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's Sabre, Team",Silver
223148,112077,Jnis mdi,Male,24.0,190.0,89.0,Latvia-1,LAT,2012 Summer,2012,Summer,London,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Bronze
223162,112086,"Johannes Adrianus Albertus ""Jan"" Smeekens",Male,26.0,176.0,72.0,Netherlands,NED,2014 Winter,2014,Winter,Sochi,Speed Skating,Speed Skating Men's 500 metres,Silver
223224,112112,Justine Smethurst,Female,21.0,178.0,77.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze
223225,112113,Yeldos Bakhtybayevich Smetov,Male,23.0,167.0,60.0,Kazakhstan,KAZ,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Extra-Lightweight,Silver
223239,112122,Lenka mdov,Female,29.0,174.0,59.0,Czech Republic,CZE,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's One Person Dinghy,Silver
223270,112131,Kristina migun-Vhi,Female,28.0,168.0,59.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold
223272,112131,Kristina migun-Vhi,Female,28.0,168.0,59.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Women's 15 km Skiathlon,Gold
223273,112131,Kristina migun-Vhi,Female,32.0,168.0,59.0,Estonia,EST,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Silver
223339,112160,Sandra Smisek,Female,31.0,164.0,56.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Bronze
223345,112164,"Grietje ""Gretha"" Smit",Female,26.0,167.0,60.0,Netherlands,NED,2002 Winter,2002,Winter,Salt Lake City,Speed Skating,"Speed Skating Women's 5,000 metres",Silver
223352,112166,Julia Elizabeth Smit,Female,20.0,183.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Silver
223353,112166,Julia Elizabeth Smit,Female,20.0,183.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
223358,112169,Miloushka Yasemin Smit,Female,23.0,178.0,70.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Women's Water Polo,Gold
223378,112180,Anabelle Smith,Female,23.0,168.0,55.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Diving,Diving Women's Synchronized Springboard,Bronze
223380,112182,Andrew Smith,Male,29.0,191.0,89.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
223446,112220,Clark Smith,Male,21.0,206.0,90.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
223448,112222,Colin Smith,Male,24.0,185.0,84.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Coxed Eights,Silver
223460,112229,"David ""Dave"" Smith",Male,25.0,183.0,85.0,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
223465,112232,David Michael Smith,Male,31.0,201.0,86.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Men's Volleyball,Bronze
223595,112302,Jesse Aaron Smith,Male,25.0,194.0,105.0,United States,USA,2008 Summer,2008,Summer,Beijing,Water Polo,Water Polo Men's Water Polo,Silver
223611,112309,John Smith,Male,22.0,192.0,72.0,South Africa,RSA,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Lightweight Coxless Fours,Gold
223633,112322,"Katherine May ""Katie"" Smith",Female,30.0,180.0,79.0,United States,USA,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Gold
223634,112322,"Katherine May ""Katie"" Smith",Female,34.0,180.0,79.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold
223647,112330,"Albertus Stephanus ""Kwagga"" Smith",Male,23.0,180.0,90.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
223652,112334,Leah Smith,Female,21.0,178.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,Bronze
223654,112334,Leah Smith,Female,21.0,178.0,67.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
223671,112342,Louis Antoine Smith,Male,19.0,184.0,76.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Men's Pommelled Horse,Bronze
223672,112342,Louis Antoine Smith,Male,23.0,184.0,76.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
223674,112342,Louis Antoine Smith,Male,23.0,184.0,76.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
223676,112342,Louis Antoine Smith,Male,27.0,184.0,76.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
223758,112385,Ronetta Jamilah Smith,Female,24.0,168.0,59.0,Jamaica,JAM,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
223768,112390,Rusty Smith,Male,22.0,173.0,73.0,United States,USA,2002 Winter,2002,Winter,Salt Lake City,Short Track Speed Skating,Short Track Speed Skating Men's 500 metres,Bronze
223773,112390,Rusty Smith,Male,26.0,173.0,73.0,United States,USA,2006 Winter,2006,Winter,Torino,Short Track Speed Skating,"Short Track Speed Skating Men's 5,000 metres Relay",Bronze
223789,112399,Sophie Smith,Female,26.0,181.0,68.0,Australia,AUS,2012 Summer,2012,Summer,London,Water Polo,Water Polo Women's Water Polo,Bronze
223805,112412,Tate Smith,Male,30.0,187.0,92.0,Australia,AUS,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
223912,112475,Olivia Smoliga,Female,21.0,188.0,72.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
223973,112503,Laura Smulders,Female,18.0,170.0,73.0,Netherlands,NED,2012 Summer,2012,Summer,London,Cycling,Cycling Women's BMX,Bronze
223975,112504,"Marlies Jeannette Fransisca ""Marlies"" Smulders",Female,22.0,184.0,78.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Rowing,Rowing Women's Coxed Eights,Bronze
223976,112504,"Marlies Jeannette Fransisca ""Marlies"" Smulders",Female,26.0,184.0,78.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Women's Coxed Eights,Silver
224013,112516,Aleksandr Aleksandrovich Smyshlyayev,Male,26.0,170.0,74.0,Russia,RUS,2014 Winter,2014,Winter,Sochi,Freestyle Skiing,Freestyle Skiing Men's Moguls,Bronze
224028,112526,Ryan Alexander Gordon Smyth,Male,25.0,185.0,86.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
224051,112541,Belinda Rose Snell,Female,23.0,180.0,80.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Women's Basketball,Silver
224052,112541,Belinda Rose Snell,Female,27.0,180.0,80.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Silver
224053,112541,Belinda Rose Snell,Female,31.0,180.0,80.0,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,Bronze
224121,112572,Jiske Snoeks,Female,26.0,166.0,52.0,Netherlands,NED,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Silver
224147,112588,Emma Laura Snowsill (-Frodeno),Female,27.0,161.0,48.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Women's Olympic Distance,Gold
224159,112592,Katelin Snyder (-Guregian),Female,28.0,163.0,50.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,Gold
224160,112593,Kyle Frederick Snyder,Male,20.0,180.0,102.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
224171,112597,"Philippus Albertus Borman ""Philip"" Snyman",Male,29.0,188.0,95.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
224264,112646,Rishod Rashidovich Sobirov,Male,21.0,168.0,66.0,Uzbekistan,UZB,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Extra-Lightweight,Bronze
224265,112646,Rishod Rashidovich Sobirov,Male,25.0,168.0,66.0,Uzbekistan,UZB,2012 Summer,2012,Summer,London,Judo,Judo Men's Extra-Lightweight,Bronze
224266,112646,Rishod Rashidovich Sobirov,Male,29.0,168.0,66.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Lightweight,Bronze
224267,112647,Rafael Augusto Sbis do Nascimento,Male,23.0,173.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
224283,112658,Yevgeniya Viktorovna Soboleva-Khokhriakova,Female,27.0,180.0,75.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Bronze
224298,112668,"Kathryn Michele ""Kate"" Sobrero-Markgraf",Female,27.0,170.0,61.0,United States,USA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Gold
224299,112668,"Kathryn Michele ""Kate"" Sobrero-Markgraf",Female,31.0,170.0,61.0,United States,USA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Gold
224335,112686,Jack Sock,Male,23.0,191.0,84.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Mixed Doubles,Gold
224336,112686,Jack Sock,Male,23.0,191.0,84.0,United States-2,USA,2016 Summer,2016,Summer,Rio de Janeiro,Tennis,Tennis Men's Doubles,Bronze
224371,112704,Hans Anders Sdergren,Male,28.0,182.0,77.0,Sweden,SWE,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Bronze
224375,112704,Hans Anders Sdergren,Male,32.0,182.0,77.0,Sweden,SWE,2010 Winter,2010,Winter,Vancouver,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Gold
224461,112753,"Nicoleta Daniela ""Dana"" ofronie",Female,16.0,146.0,37.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Team All-Around,Gold
224462,112753,"Nicoleta Daniela ""Dana"" ofronie",Female,16.0,146.0,37.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Gymnastics Women's Floor Exercise,Silver
224505,112772,Edwin Cheruiyot Soi,Male,22.0,168.0,53.0,Kenya,KEN,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 5,000 metres",Bronze
